"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sat Jun 27 15:34:08 UTC 2026","passed","Sat Jun 27 15:34:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","10","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sat Jun 27 15:34:08 UTC 2026","passed","Sat Jun 27 15:34:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","58","[HTTP] Get user details. User with active debit card account","tests.suites.http","Sat Jun 27 15:34:09 UTC 2026","passed","Sat Jun 27 15:34:09 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","13","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sat Jun 27 15:34:07 UTC 2026","broken","Sat Jun 27 15:34:07 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","13","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sat Jun 27 15:34:09 UTC 2026","passed","Sat Jun 27 15:34:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","513","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sat Jun 27 15:34:09 UTC 2026","failed","Sat Jun 27 15:34:10 UTC 2026","TestOperationsHTTP","test_operations","",""
"","553","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sat Jun 27 15:34:09 UTC 2026","failed","Sat Jun 27 15:34:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","50","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sat Jun 27 15:34:10 UTC 2026","passed","Sat Jun 27 15:34:10 UTC 2026","TestOperationsHTTP","test_operations","",""
"","513","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sat Jun 27 15:34:08 UTC 2026","failed","Sat Jun 27 15:34:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","25","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sat Jun 27 15:34:07 UTC 2026","passed","Sat Jun 27 15:34:07 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","876","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sat Jun 27 15:34:07 UTC 2026","failed","Sat Jun 27 15:34:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","64","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sat Jun 27 15:34:08 UTC 2026","passed","Sat Jun 27 15:34:09 UTC 2026","TestGatewayHTTP","test_gateway","",""
